,ds,yhat,yhat_lower,yhat_upper
0,2014-07-15,57.45133390824212,53.87350142739028,61.00204385077594
1,2014-07-16,57.698817185654924,54.29910429505868,61.60913847322129
2,2014-07-17,57.78945644674293,54.24848414777566,61.42225094394182
3,2014-07-18,57.92178613532266,54.48162671298947,61.766603749633816
4,2014-07-21,58.46147792385853,54.695946082609574,62.04638749820122
5,2014-07-22,58.732517472155955,55.02442395266,62.26178620426166
6,2014-07-23,58.9203583258943,55.15301977639285,62.62962479571849
7,2014-07-24,58.94617120578915,55.303069733792135,62.736306274152575
8,2014-07-25,59.009286516197584,55.73319331361595,62.796284188877046
9,2014-07-28,59.32302621190411,55.9430351890275,63.222916477138114
10,2014-07-29,59.515234551409364,55.853883950355645,63.022460942918016
11,2014-07-30,59.62369515305142,55.93868428041097,62.98954299148528
12,2014-07-31,59.570229841618605,56.01904334085611,63.3292147158714
13,2014-08-01,59.55476061248507,56.00853680567031,63.21695662854266
14,2014-08-04,59.64185503018372,56.230378445678326,62.90072060678722
15,2014-08-05,59.76287214908084,56.33348134563366,63.30381027125663
16,2014-08-06,59.80282434311091,56.232438392271874,63.677364186439384
17,2014-08-07,59.683751841423806,56.3103773779296,63.10901238517729
18,2014-08-08,59.60574821671969,56.00196482723248,63.21887151683646
19,2014-08-11,59.52486275051212,55.780735185946924,63.17960223182403
20,2014-08-12,59.59670824237342,55.923551752614934,62.93858888070171
21,2014-08-13,59.59101276767757,56.014433477905726,63.82956133238379
22,2014-08-14,59.42988473673068,55.71185557032064,63.12534691784258
23,2014-08-15,59.31349530037822,55.95187360074188,63.11160887279608
24,2014-08-18,59.14047472936282,55.59798241580095,62.51619193103837
25,2014-08-19,59.18970604093671,55.65894008048379,62.84069937809831
26,2014-08-20,59.165698693068265,55.719064088640586,62.8383277958348
27,2014-08-21,58.990731431451565,55.57303905511283,62.7704848706275
28,2014-08-22,58.86514986470096,55.498397863653906,62.52835187380385
29,2014-08-25,58.69406714326843,55.042035424707166,62.36876264274541
30,2014-08-26,58.754219829288346,55.38480412865465,62.232854148104366
31,2014-08-27,58.74639927268151,55.00930318553825,62.409705464578344
32,2014-08-28,58.59288308986701,55.1041045947984,62.375540667753334
33,2014-08-29,58.4939491119933,54.82002786174737,62.059004944070026
34,2014-09-02,58.53740271114752,55.09206935245184,62.389110371905524
35,2014-09-03,58.57829481779154,55.113442529109534,62.08924812179577
36,2014-09-04,58.47647459330613,54.63013639437071,62.11962391268881
37,2014-09-05,58.43152585010842,54.91843701564125,62.06255500200258
38,2014-09-08,58.53724676762011,54.965244968634096,62.05922246928609
39,2014-09-09,58.697201019003984,55.109039143287866,62.26037584907921
40,2014-09-10,58.790553658652065,55.18001804524454,62.41583494601064
41,2014-09-11,58.73797429678265,55.154312192456544,62.226945868881494
42,2014-09-12,58.73805108786979,54.79519562666813,62.316190677695445
43,2014-09-15,58.944199794606575,55.26425547246055,62.60136282933163
44,2014-09-16,59.12331666565041,55.52063894799011,62.692932426165044
45,2014-09-17,59.22754632668451,55.828405456437935,62.80178656706622
46,2014-09-18,59.17707443401206,55.69223429042041,62.898400965281525
47,2014-09-19,59.17015821147515,55.57913649438952,62.986235227269475
48,2014-09-22,59.299975126319936,55.795351862827495,62.92116773952577
49,2014-09-23,59.435856180256295,56.00167624553276,63.08941171503161
50,2014-09-24,59.48874803963122,55.730816786451605,63.108823259655885
51,2014-09-25,59.379585873307335,55.64681306287424,62.802890570672545
52,2014-09-26,59.30754697371537,55.452181011441574,62.91915920163101
53,2014-09-29,59.21484468579177,55.48250094931163,62.5888265295077
54,2014-09-30,59.271924377505364,55.396038325609766,62.567712870005444
55,2014-10-01,59.24613071723519,55.703200962723,62.66836271129965
56,2014-10-02,59.059930090490596,55.30332027751548,62.686807371768204
57,2014-10-03,58.91403766751987,55.51939932101575,62.61243549476345
58,2014-10-06,58.633703954494955,55.079063773014475,62.17904245505957
59,2014-10-07,58.64408654938824,54.857121933302984,61.91345892162032
60,2014-10-08,58.5814839831122,54.74891836976887,61.872038699752665
61,2014-10-09,58.36930407991509,54.95960183184614,61.94218489735164
62,2014-10-10,58.2090138866588,54.58064495378933,61.982629663844996
63,2014-10-13,59.10689363940392,55.676905173035216,62.62454893230233
64,2014-10-14,58.004839921852756,54.45367723539574,61.50196843234224
65,2014-10-15,57.989424204598066,54.34353364764628,61.9756238697465
66,2014-10-16,57.83588741010939,54.2445323772257,61.115089729821065
67,2014-10-17,57.74489353036279,54.01988024861694,61.332374754500655
68,2014-10-20,57.75614343300812,54.066475943989694,61.32591537711897
69,2014-10-21,57.90192879789662,54.32700017443683,61.58083147276493
70,2014-10-22,57.99091423867893,54.57441165615317,61.625557016636165
71,2014-10-23,57.94430147442215,54.405989193342506,61.28360543778076
72,2014-10-24,57.96110725688275,54.3600371339102,61.291637544948514
73,2014-10-27,58.28476576253052,54.33202710080373,61.76999471323202
74,2014-10-28,58.52591061666115,54.62408435625549,62.225741614164974
75,2014-10-29,58.70356599296258,55.2065411468992,62.23763562128964
76,2014-10-30,58.73776171048066,54.96854101862929,62.25869045687846
77,2014-10-31,58.82651260808304,55.15003689835001,62.6679524392609
78,2014-11-03,59.305675403340125,55.72255786236789,62.910078313909935
79,2014-11-04,59.577180548300056,56.21867379970876,62.96596474645158
80,2014-11-05,59.774296150232885,56.17622781732476,63.268129129774884
81,2014-11-06,59.7961067555659,56.12659041129363,63.40563227090382
82,2014-11-07,59.862173950150854,56.369198765679464,63.641551642533294
83,2014-11-10,60.217936353287236,56.68870581106701,63.877052315724214
84,2014-11-11,62.19277464212097,58.807679787553056,65.67761569489534
85,2014-11-12,60.56691548237446,57.15615795515938,64.00845030976869
86,2014-11-13,60.54195215695908,57.290494590470345,64.48913533651996
87,2014-11-14,60.557337046178404,56.86236329380864,64.16291913035994
88,2014-11-17,60.74869964799504,57.144236085871235,64.30861176297029
89,2014-11-18,60.90799543197261,57.24041123494138,64.39650592560011
90,2014-11-19,60.98796702226224,57.34329631068652,64.67271375101389
91,2014-11-20,60.910711129501635,57.50153075308635,64.38470577171196
92,2014-11-21,60.876398395874716,57.37423592767375,64.34255833769328
93,2014-11-24,60.93849858957215,57.524182387149665,64.3760946061529
94,2014-11-25,61.06202839231612,57.470590137073934,64.88180359167663
