,ds,trend,trend_lower,trend_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat,yhat_lower,yhat_upper
0,2014-07-14,13.567786334133984,13.567786334133984,13.567786334133984,0.5510158039192976,0.5510158039192976,0.5510158039192976,-2.3333404350686533,-2.3333404350686533,-2.3333404350686533,11.785461702984628,7.457205901158191,16.181356915886965
1,2014-07-15,13.576839446377672,13.576839446377672,13.576839446377672,0.35511317180313245,0.35511317180313245,0.35511317180313245,-2.434252981299314,-2.434252981299314,-2.434252981299314,11.49769963688149,7.274072013782883,15.852964254685698
2,2014-07-16,13.58589255862136,13.58589255862136,13.58589255862136,0.2997336283948932,0.2997336283948932,0.2997336283948932,-2.524613443274538,-2.524613443274538,-2.524613443274538,11.361012743741716,7.419683955890316,15.801291432861653
3,2014-07-17,13.594945670865048,13.594945670865048,13.594945670865048,0.38610436120410163,0.38610436120410163,0.38610436120410163,-2.603928311602723,-2.603928311602723,-2.603928311602723,11.377121720466427,6.971840824746675,15.538442556663856
4,2014-07-18,13.603998783108738,13.603998783108738,13.603998783108738,0.17534266613735922,0.17534266613735922,0.17534266613735922,-2.67189697163578,-2.67189697163578,-2.67189697163578,11.107444477610317,6.8356766746211415,15.53393337899648
5,2014-07-21,13.631158119839801,13.631158119839801,13.631158119839801,0.5510158039196226,0.5510158039196226,0.5510158039196226,-2.807307191796494,-2.807307191796494,-2.807307191796494,11.37486673196293,7.186846726892941,15.546423257136636
6,2014-07-22,13.640211232083491,13.640211232083491,13.640211232083491,0.35511317180283564,0.35511317180283564,0.35511317180283564,-2.8301987683773238,-2.8301987683773238,-2.8301987683773238,11.165125635509003,6.307574698599231,15.5421725938173
7,2014-07-23,13.649264344327177,13.649264344327177,13.649264344327177,0.29973362839471,0.29973362839471,0.29973362839471,-2.8425436784962144,-2.8425436784962144,-2.8425436784962144,11.106454294225673,7.075499984878974,15.214764158710004
8,2014-07-24,13.658317456570867,13.658317456570867,13.658317456570867,0.3861043612045476,0.3861043612045476,0.3861043612045476,-2.8448042789226067,-2.8448042789226067,-2.8448042789226067,11.199617538852808,6.856032183118678,15.818374329956695
9,2014-07-25,13.667370568814553,13.667370568814553,13.667370568814553,0.1753426661375464,0.1753426661375464,0.1753426661375464,-2.8374849062495535,-2.8374849062495535,-2.8374849062495535,11.005228328702547,6.815508793926396,15.381898455745018
10,2014-07-28,13.69452990554562,13.69452990554562,13.69452990554562,0.5510158039186257,0.5510158039186257,0.5510158039186257,-2.7632159826504887,-2.7632159826504887,-2.7632159826504887,11.482329726813758,7.37156380349115,15.83584957867066
11,2014-07-29,13.703583017789306,13.703583017789306,13.703583017789306,0.3551131718034464,0.3551131718034464,0.3551131718034464,-2.7226405578903803,-2.7226405578903803,-2.7226405578903803,11.336055631702372,6.989642934729516,15.525275325740058
12,2014-07-30,13.712636130032996,13.712636130032996,13.712636130032996,0.29973362839521156,0.29973362839521156,0.29973362839521156,-2.6748528422796247,-2.6748528422796247,-2.6748528422796247,11.337516916148584,6.931850491411486,15.96600913067464
13,2014-07-31,13.721689242276682,13.721689242276682,13.721689242276682,0.38610436120499336,0.38610436120499336,0.38610436120499336,-2.620179374638243,-2.620179374638243,-2.620179374638243,11.487614228843432,7.21008817290063,16.03704988031621
14,2014-08-01,13.730742354520372,13.730742354520372,13.730742354520372,0.17534266613773372,0.17534266613773372,0.17534266613773372,-2.5588768354199662,-2.5588768354199662,-2.5588768354199662,11.347208185238138,7.1987007411163075,15.503704721076865
15,2014-08-04,13.757901691251435,13.757901691251435,13.757901691251435,0.5510158039193297,0.5510158039193297,0.5510158039193297,-2.336739633934321,-2.336739633934321,-2.336739633934321,11.972177861236444,7.799068813714482,16.315122163526457
16,2014-08-05,13.766954803495125,13.766954803495125,13.766954803495125,0.3551131718030056,0.3551131718030056,0.3551131718030056,-2.250173640976251,-2.250173640976251,-2.250173640976251,11.87189433432188,7.682261237838334,16.321757951181617
