,ds,trend,trend_lower,trend_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat,yhat_lower,yhat_upper
0,2015-07-06,31.12301922143904,31.123019221439044,31.123019221439044,-1.1805806544408306,-1.1805806544408306,-1.1805806544408306,4.94848980889979,4.94848980889979,4.94848980889979,34.890928375898,32.1066858392046,37.58439338113678
1,2015-07-07,31.181630088029767,31.18163008802977,31.18163008802977,-1.0864009219863358,-1.0864009219863358,-1.0864009219863358,5.1324017851764605,5.1324017851764605,5.1324017851764605,35.22763095121989,32.35276664043862,37.99175829333478
2,2015-07-08,31.240240954620482,31.240240954620482,31.240240954620482,-1.0123002391513194,-1.0123002391513194,-1.0123002391513194,5.321353566369872,5.321353566369872,5.321353566369872,35.54929428183903,32.5870566854308,38.28205676224695
3,2015-07-09,31.29885182121121,31.29885182121121,31.29885182121121,-0.9766268928283123,-0.9766268928283123,-0.9766268928283123,5.51208026325886,5.51208026325886,5.51208026325886,35.834305191641754,32.9105916812199,38.450522051573074
4,2015-07-10,31.357462687801924,31.357462687801924,31.357462687801924,-1.0237911357479534,-1.0237911357479534,-1.0237911357479534,5.701255820976618,5.701255820976618,5.701255820976618,36.03492737303059,33.24388056434583,38.750538841522406
5,2015-07-13,31.53329528757409,31.53329528757409,31.53329528757409,-1.1805806544461142,-1.1805806544461142,-1.1805806544461142,6.226864992524646,6.226864992524646,6.226864992524646,36.57957962565263,33.78369814610322,39.453635558214366
6,2015-07-14,31.59190615416481,31.59190615416481,31.59190615416481,-1.0864009219888073,-1.0864009219888073,-1.0864009219888073,6.377944095541417,6.377944095541417,6.377944095541417,36.88344932771742,34.209763168394076,39.689416528180686
7,2015-07-15,31.650517020755533,31.650517020755533,31.650517020755533,-1.0123002391513882,-1.0123002391513882,-1.0123002391513882,6.512474988492073,6.512474988492073,6.512474988492073,37.150691770096216,34.294221170276494,39.97996536729435
8,2015-07-16,31.709127887346252,31.709127887346252,31.709127887346252,-0.976626892827763,-0.976626892827763,-0.976626892827763,6.628239269724074,6.628239269724074,6.628239269724074,37.360740264242565,34.53087970648524,40.13559134543017
9,2015-07-17,31.767738753936978,31.767738753936978,31.767738753936978,-1.0237911357536003,-1.0237911357536003,-1.0237911357536003,6.7233982599015985,6.7233982599015985,6.7233982599015985,37.46734587808498,34.82544327523067,40.357671187512096
10,2015-07-20,31.943571353709135,31.943571353709135,31.943571353709135,-1.1805806544405353,-1.1805806544405353,-1.1805806544405353,6.873166782956197,6.873166782956197,6.873166782956197,37.636157482224796,34.72153774774852,40.45377108754173
11,2015-07-21,32.00218222029986,32.00218222029986,32.00218222029986,-1.0864009219876953,-1.0864009219876953,-1.0864009219876953,6.876034497925783,6.876034497925783,6.876034497925783,37.79181579623795,35.161524622882396,40.73379119628034
12,2015-07-22,32.06079308689058,32.06079308689058,32.06079308689058,-1.0123002391512932,-1.0123002391512932,-1.0123002391512932,6.855568466180017,6.855568466180017,6.855568466180017,37.9040613139193,34.863325336576565,40.78516270832759
13,2015-07-23,32.1194039534813,32.1194039534813,32.1194039534813,-0.9766268928288897,-0.9766268928288897,-0.9766268928288897,6.812516863412087,6.812516863412087,6.812516863412087,37.9552939240645,35.23804337424946,40.9627064105262
14,2015-07-24,32.17801482007202,32.17801482007202,32.17801482007202,-1.023791135748125,-1.023791135748125,-1.023791135748125,6.748010431904755,6.748010431904755,6.748010431904755,37.902234116228655,35.28518936479039,40.79861165309938
15,2015-07-27,32.353847419844186,32.353847419844186,32.353847419844186,-1.1805806544349566,-1.1805806544349566,-1.1805806544349566,6.441932826163912,6.441932826163912,6.441932826163912,37.615199591573145,34.90254161650519,40.509695964790204
16,2015-07-28,32.412458286434905,32.412458286434905,32.412458286434905,-1.086400921986583,-1.086400921986583,-1.086400921986583,6.309047573901103,6.309047573901103,6.309047573901103,37.63510493834943,34.53082292641595,40.5682721740668
17,2015-07-29,32.47106915302563,32.47106915302563,32.47106915302563,-1.0123002391511977,-1.0123002391511977,-1.0123002391511977,6.164501419496253,6.164501419496253,6.164501419496253,37.623270333370684,34.90023216152773,40.57722072748563
18,2015-07-30,32.52968001961635,32.52968001961635,32.52968001961635,-0.9766268928300166,-0.9766268928300166,-0.9766268928300166,6.0106948075188,6.0106948075188,6.0106948075188,37.563747934305134,34.76398136863757,40.21337960467119
19,2015-07-31,32.58829088620707,32.58829088620707,32.58829088620707,-1.0237911357537723,-1.0237911357537723,-1.0237911357537723,5.850038006320261,5.850038006320261,5.850038006320261,37.414537756773555,34.635153317658876,40.290061068192834
20,2015-08-03,32.76412348597923,32.76412348597923,32.76412348597923,-1.1805806544375694,-1.1805806544375694,-1.1805806544375694,5.350056617071055,5.350056617071055,5.350056617071055,36.93359944861272,34.00858483841457,39.84887633408155
21,2015-08-04,32.82273435256996,32.82273435256996,32.82273435256996,-1.0864009219854702,-1.0864009219854702,-1.0864009219854702,5.184408849757301,5.184408849757301,5.184408849757301,36.92074228034179,34.14324468246849,39.75982379256744
22,2015-08-05,32.88134521916067,32.88134521916067,32.88134521916067,-1.012300239151423,-1.012300239151423,-1.012300239151423,5.022293071472945,5.022293071472945,5.022293071472945,36.891338051482194,34.14203801718682,39.836948404586316
23,2015-08-06,32.9399560857514,32.9399560857514,32.9399560857514,-0.9766268928290914,-0.9766268928290914,-0.9766268928290914,4.865170495575523,4.865170495575523,4.865170495575523,36.82849968849783,33.908279288644096,39.77680355596486
